priority,case_id,review_status,recap_with_empty_expected,wave,labels,objective,word_count,expected_task_count,transcript_path,expected_output_path,reviewer,review_notes
2,W4-LONG-C4-N1-IT-STATE-006,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6682,2,data/validation/W4-LONG-C4-N1-IT-STATE-006/transcript.txt,data/validation/W4-LONG-C4-N1-IT-STATE-006/expected_output.json,,
2,W4-LONG-C4-N2-IT-STATE-010,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6072,3,data/validation/W4-LONG-C4-N2-IT-STATE-010/transcript.txt,data/validation/W4-LONG-C4-N2-IT-STATE-010/expected_output.json,,
2,W4-LONG-C4-N2-OPS-STATE-004,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7021,5,data/validation/W4-LONG-C4-N2-OPS-STATE-004/transcript.txt,data/validation/W4-LONG-C4-N2-OPS-STATE-004/expected_output.json,,
2,W4-LONG-C4-N3-IT-STATE-002,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6006,4,data/validation/W4-LONG-C4-N3-IT-STATE-002/transcript.txt,data/validation/W4-LONG-C4-N3-IT-STATE-002/expected_output.json,,
2,W4-LONG-C4-N3-OPS-STATE-008,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6923,1,data/validation/W4-LONG-C4-N3-OPS-STATE-008/transcript.txt,data/validation/W4-LONG-C4-N3-OPS-STATE-008/expected_output.json,,
2,W4-LONG-C5-N1-PROD-STATE-003,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",6918,4,data/validation/W4-LONG-C5-N1-PROD-STATE-003/transcript.txt,data/validation/W4-LONG-C5-N1-PROD-STATE-003/expected_output.json,,
2,W4-LONG-C5-N1-SW-STATE-009,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7395,2,data/validation/W4-LONG-C5-N1-SW-STATE-009/transcript.txt,data/validation/W4-LONG-C5-N1-SW-STATE-009/expected_output.json,,
2,W4-LONG-C5-N2-PROD-STATE-007,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7129,3,data/validation/W4-LONG-C5-N2-PROD-STATE-007/transcript.txt,data/validation/W4-LONG-C5-N2-PROD-STATE-007/expected_output.json,,
2,W4-LONG-C5-N3-PROD-STATE-011,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7922,7,data/validation/W4-LONG-C5-N3-PROD-STATE-011/transcript.txt,data/validation/W4-LONG-C5-N3-PROD-STATE-011/expected_output.json,,
2,W4-LONG-C5-N3-SW-STATE-005,pending,,4,long_meeting;long_distance_correction;owner_handoff;task_cancellation;topic_revisited;recap_duplicate_risk,"P01: Mở meeting, bàn môi trường test và tài liệu triển khai. Tạo hai task có tên gần giống nhau, đặt một deadline ban đầu và một task không deadline. | P02: Chuyển sang lỗi đăng nhập và dữ liệu test. Tạo thêm task, distractor và unresolved reviewer; chưa sửa task P01. | P03: Quay lại tài liệu P01. Handoff owner của một task và thay deadline của task còn lại; phải tham chiếu tự nhiên qua khoảng cách dài. | P04: Bàn release và monitoring. Hủy một task cũ, đặt một deadline gần lời bàn về task khác nhưng thuộc đúng antecedent cũ. | P05: Xử lý các điểm cuối, recap trạng thái cuối cùng, không tạo duplicate và giữ một unresolved item nếu chưa chốt.",7640,1,data/validation/W4-LONG-C5-N3-SW-STATE-005/transcript.txt,data/validation/W4-LONG-C5-N3-SW-STATE-005/expected_output.json,,
2,W5-XL-C5-N2-IT-STRESS-002,pending,,5,extra_long_meeting;multi_step_handoff;multiple_deadline_corrections;long_distance_dependency;ambiguous_reference;heavy_recoverable_noise,"P01: Mở meeting, thiết lập 5–8 speaker, hai topic đầu, vài task nền và deadline ban đầu; tạo antecedent cho chain sau. | P02: Thêm topic integration và dữ liệu; tạo task gần giống nhau, negative block và unresolved owner. | P03: Topic vận hành; handoff bước một cho một task cũ, deadline correction đầu tiên cho task khác. | P04: Topic sản phẩm; tạo thêm task và event-dependent deadline; không giải quyết unresolved từ P02. | P05: Quay lại topic P01; handoff bước hai và scope update; một repeated mention không tạo duplicate. | P06: Topic release; hủy một task, mở task thay thế khác rõ ràng, correction deadline thứ hai. | P07: Topic monitoring và support; long-distance reference, deadline gần task khác nhưng đúng antecedent. | P08: Quay lại integration; xử lý một ambiguity nhưng giữ một unresolved reference khác; recap cục bộ không tạo task mới. | P09: Chốt các state transition cuối, correction chain cuối và cancellation muộn; chưa closing. | P10: Recap trạng thái cuối toàn meeting, giữ unresolved thật sự, không tạo duplicate, closing ngắn.",12177,8,data/validation/W5-XL-C5-N2-IT-STRESS-002/transcript.txt,data/validation/W5-XL-C5-N2-IT-STRESS-002/expected_output.json,,
2,W5-XL-C5-N2-OPS-STRESS-004,pending,,5,extra_long_meeting;multi_step_handoff;multiple_deadline_corrections;long_distance_dependency;ambiguous_reference;heavy_recoverable_noise,"P01: Mở meeting, thiết lập 5–8 speaker, hai topic đầu, vài task nền và deadline ban đầu; tạo antecedent cho chain sau. | P02: Thêm topic integration và dữ liệu; tạo task gần giống nhau, negative block và unresolved owner. | P03: Topic vận hành; handoff bước một cho một task cũ, deadline correction đầu tiên cho task khác. | P04: Topic sản phẩm; tạo thêm task và event-dependent deadline; không giải quyết unresolved từ P02. | P05: Quay lại topic P01; handoff bước hai và scope update; một repeated mention không tạo duplicate. | P06: Topic release; hủy một task, mở task thay thế khác rõ ràng, correction deadline thứ hai. | P07: Topic monitoring và support; long-distance reference, deadline gần task khác nhưng đúng antecedent. | P08: Quay lại integration; xử lý một ambiguity nhưng giữ một unresolved reference khác; recap cục bộ không tạo task mới. | P09: Chốt các state transition cuối, correction chain cuối và cancellation muộn; chưa closing. | P10: Recap trạng thái cuối toàn meeting, giữ unresolved thật sự, không tạo duplicate, closing ngắn.",11872,1,data/validation/W5-XL-C5-N2-OPS-STRESS-004/transcript.txt,data/validation/W5-XL-C5-N2-OPS-STRESS-004/expected_output.json,,
2,W5-XL-C5-N3-PROD-STRESS-003,pending,,5,extra_long_meeting;multi_step_handoff;multiple_deadline_corrections;long_distance_dependency;ambiguous_reference;heavy_recoverable_noise,"P01: Mở meeting, thiết lập 5–8 speaker, hai topic đầu, vài task nền và deadline ban đầu; tạo antecedent cho chain sau. | P02: Thêm topic integration và dữ liệu; tạo task gần giống nhau, negative block và unresolved owner. | P03: Topic vận hành; handoff bước một cho một task cũ, deadline correction đầu tiên cho task khác. | P04: Topic sản phẩm; tạo thêm task và event-dependent deadline; không giải quyết unresolved từ P02. | P05: Quay lại topic P01; handoff bước hai và scope update; một repeated mention không tạo duplicate. | P06: Topic release; hủy một task, mở task thay thế khác rõ ràng, correction deadline thứ hai. | P07: Topic monitoring và support; long-distance reference, deadline gần task khác nhưng đúng antecedent. | P08: Quay lại integration; xử lý một ambiguity nhưng giữ một unresolved reference khác; recap cục bộ không tạo task mới. | P09: Chốt các state transition cuối, correction chain cuối và cancellation muộn; chưa closing. | P10: Recap trạng thái cuối toàn meeting, giữ unresolved thật sự, không tạo duplicate, closing ngắn.",13604,3,data/validation/W5-XL-C5-N3-PROD-STRESS-003/transcript.txt,data/validation/W5-XL-C5-N3-PROD-STRESS-003/expected_output.json,,
2,W5-XL-C5-N3-SW-STRESS-001,pending,,5,extra_long_meeting;multi_step_handoff;multiple_deadline_corrections;long_distance_dependency;ambiguous_reference;heavy_recoverable_noise,"P01: Mở meeting, thiết lập 5–8 speaker, hai topic đầu, vài task nền và deadline ban đầu; tạo antecedent cho chain sau. | P02: Thêm topic integration và dữ liệu; tạo task gần giống nhau, negative block và unresolved owner. | P03: Topic vận hành; handoff bước một cho một task cũ, deadline correction đầu tiên cho task khác. | P04: Topic sản phẩm; tạo thêm task và event-dependent deadline; không giải quyết unresolved từ P02. | P05: Quay lại topic P01; handoff bước hai và scope update; một repeated mention không tạo duplicate. | P06: Topic release; hủy một task, mở task thay thế khác rõ ràng, correction deadline thứ hai. | P07: Topic monitoring và support; long-distance reference, deadline gần task khác nhưng đúng antecedent. | P08: Quay lại integration; xử lý một ambiguity nhưng giữ một unresolved reference khác; recap cục bộ không tạo task mới. | P09: Chốt các state transition cuối, correction chain cuối và cancellation muộn; chưa closing. | P10: Recap trạng thái cuối toàn meeting, giữ unresolved thật sự, không tạo duplicate, closing ngắn.",13914,3,data/validation/W5-XL-C5-N3-SW-STRESS-001/transcript.txt,data/validation/W5-XL-C5-N3-SW-STRESS-001/expected_output.json,,
